ID;hatching;1st molt;2nd molt;3rd molt;4th molt;eonymph;eonymph2;adulthatch;hatchingweightmg;treatmentweight;masschange;s;larvaltreat;treatment;died;purpose;pupaestageduration;larvalstageduration;totallifespan;adultlifespan;velocity;distancemoved;immobileduration;highlymobileduration;drybodymass;lipidmasstotal;lipidmgmgbodymass;carbsmasstotal;carbsmgmgbodymass
107;02.10.2023;4;6;8;11;15;;01.11.2023;17.70;16.10;-1.60;female;larval;double;;B,M;17;13;;;0.1179;424.25;2897.44;20.8;5.563;1.814;0.3262;0.122;0.0219
108;02.10.2023;3;5;7;11;16;;04.11.2023;9.90;5.80;-4.10;male;larval;double;;B,M;19;14;;;0.165054;593.931;2525.12;287.04;2.376;0.336;0.1416;0.044;0.0187
109;02.10.2023;4;7;9;13;17;;03.11.2023;18.80;17.30;-1.50;female;larval;double;25.11.2023;B,L;17;15;54;22;0.14551;523.755;2999.36;189.28;;;;;
110;02.10.2023;4;6;8;11;16;;03.11.2023;10.80;8.80;-2.00;male;larval;double;21.11.2023;B,L;18;14;50;18;0.380521;1369.27;1634.36;773.24;;;;;
111;02.10.2023;4;7;9;13;17;;04.11.2023;18.20;17.00;-1.20;female;larval;double;;B,M;18;15;;;0.378602;1362.36;2035.8;602.16;4.933;0.934;0.1893;0.107;0.0217
112;03.10.2023;4;6;9;13;18;;05.11.2023;11.60;7.10;-4.50;male;larval;double;20.11.2023;B,L;18;15;48;15;0.109955;395.661;3012.88;149.24;;;;;
113;02.10.2023;4;7;11;14;17;;05.11.2023;13.70;10.10;-3.60;male;larval;double;18.11.2023;B,L;19;15;47;13;0.120492;433.58;3060.72;151.32;;;;;
114;02.10.2023;3;4;7;11;16;;03.11.2023;10.60;8.20;-2.40;male;larval;double;;B,M;18;14;;;0.320782;1154.63;2026.44;667.68;2.624;1.783;0.6795;0.044;0.0170
115;03.10.2023;5;6;9;12;17;;03.11.2023;20.30;18.10;-2.20;female;larval;double;23.11.2023;B,L;17;14;51;20;0.44234;1592.64;1862.64;841.88;;;;;
116;02.10.2023;3;5;8;11;16;;03.11.2023;12.80;10.40;-2.40;male;larval;double;;B,M;18;14;;;0.965654;3475.81;660.92;2227.16;2.965;0.274;0.0923;0.032;0.0108
117;02.10.2023;3;4;7;11;16;;04.11.2023;9.20;7.90;-1.30;male;larval;double;19.11.2023;B,L;19;14;48;15;0.4745;1707.93;1002.04;951.08;;;;;
118;02.10.2023;4;6;9;12;17;;06.11.2023;8.70;7.50;-1.20;male;larval;double;;B,M;20;15;;;0.113357;408.138;2851.16;122.2;2.234;0.462;0.2069;0.044;0.0199
119;02.10.2023;4;6;10;13;16;;03.11.2023;21.80;18.00;-3.80;female;larval;double;;B,M;18;14;;;0.267926;964.382;2325.96;398.84;5.783;2.160;0.3736;0.177;0.0307
120;02.10.2023;4;7;10;13;16;;04.11.2023;12.70;10.80;-1.90;male;larval;double;19.11.2023;B,L;19;14;48;15;0.74112;2668.39;1425.32;1587.04;;;;;
